2025-12-08 17:37:05 INFO msg | abrir_web : Cargando la WEB
2025-12-08 17:37:05 INFO msg | validar_usuario : Validando usuario
2025-12-08 17:37:05 INFO msg | test_carrito_contador : --------------------------------------------
2025-12-08 17:37:05 INFO msg | test_carrito_contador : Se encontraron 6 productos.
2025-12-08 17:37:05 INFO msg | test_carrito_contador : AGREGANDO EL PRIMER PRODUCTO ENCONTRADO
2025-12-08 17:37:05 INFO msg | test_carrito_contador : VERIFICANDO QUE EL CONTADOR SUME EL PRODUCTO AGREGADO
2025-12-08 17:37:05 INFO msg | test_carrito_contador : En el carrito hay 1 producto
2025-12-08 17:37:05 INFO msg | test_carrito_contador : Haciendo click en en menu
2025-12-08 17:37:05 INFO msg | test_carrito_contador : Haicendo click en el reset
2025-12-08 17:37:06 INFO msg | test_carrito : hicimos el logout para limpiar la sesión
2025-12-08 17:37:06 INFO msg | abrir_web : Cargando la WEB
2025-12-08 17:37:06 INFO msg | validar_usuario : Validando usuario
2025-12-08 17:37:06 INFO msg | test_carrito : --------------------------------------------
2025-12-08 17:37:06 INFO msg | test_carrito : Se encontraron 6 productos
2025-12-08 17:37:06 INFO msg | agregar_producto_por_nombre : Agregando al carrito a:
2025-12-08 17:37:06 INFO msg | agregar_producto_por_nombre : Test.allTheThings() T-Shirt (Red) 
2025-12-08 17:37:06 INFO msg | test_carrito : COMPROBANDO El CONTADOR DEL CARRITO
2025-12-08 17:37:06 INFO msg | test_carrito : El carrito tiene 1 items. se actualizo correctamente!
2025-12-08 17:37:06 INFO msg | test_carrito : VERIFICANDO QUE LOS DATOS DEL CARRITO SEAN CORRECTOS
2025-12-08 17:37:06 INFO msg | test_carrito : Test.allTheThings() T-Shirt (Red)
2025-12-08 17:37:06 INFO msg | test_carrito : Test.allTheThings() T-Shirt (Red)
2025-12-08 17:37:06 INFO msg | test_carrito : Se agrego correctamente  Test.allTheThings() T-Shirt (Red)
2025-12-08 17:37:07 INFO msg | test_login_faker : --------------------------------------------
2025-12-08 17:37:07 INFO msg | test_login_faker : [sosabruce - *vr_CePnh1]
2025-12-08 17:37:07 INFO msg | abrir_web : Cargando la WEB
2025-12-08 17:37:07 INFO msg | validar_usuario : Validando usuario
2025-12-08 17:37:08 INFO msg | test_login_faker : Epic sadface: Username and password do not match any user in this service
2025-12-08 17:37:08 INFO msg | test_login_faker : --------------------------------------------
2025-12-08 17:37:08 INFO msg | test_login_faker : [michael70 - $s2NrRQh3%]
2025-12-08 17:37:08 INFO msg | abrir_web : Cargando la WEB
2025-12-08 17:37:08 INFO msg | validar_usuario : Validando usuario
